County,state,mortality_rate,number_death,cancer_incidence,number_cases,population_2015,age,income,poverty,household,married,unemployed,medicare,white,black,asian,BirthRate,group,random_n
"Rockingham County, New Hampshire",New Hampshire,172.2,570,518.8,1758,301777,43.5,79653,6.1,2.51,56.8,5.6,9,95.2281894,0.748145522,1.856484485,4.370734571,Group 2,0.098896179581061
"Los Alamos County, New Mexico",New Mexico,114.5,27,406.2,94,17785,43.5,108477,4.2,2.34,65.5,3.5,4.2,86.70494453,0.484976866,6.69491053,5.543652919,Group 1,0.10135514126159251
"Queen Anne's County, Maryland",Maryland,173.8,100,429.6,254,48904,43.5,80650,7.5,2.75,57.4,5.3,13.5,89.60699588,7.407407407,0.87037037,5.627462015,Group 3,0.16952131618745625
"Jefferson County, Kansas",Kansas,173,42,453.5494221,1962.667684,18930,43.5,56927,9.4,2.47,61.7,6.9,11.9,95.68737433,0.476240872,0.021166261,5.155718398,Group 2,0.13347057136707008
"Kent County, Rhode Island",Rhode Island,184.1,410,491.8,1034,164801,43.5,61923,9.3,2.38,49.7,8.2,12.6,92.54476897,1.399144025,2.407279429,5.275186191,Group 2,0.09735589125193655
"Crow Wing County, Minnesota",Minnesota,176.7,160,453.5494221,1962.667684,63428,43.5,50162,10.9,2.36,56.3,5.7,20.1,96.52962822,0.639195534,0.502791524,6.153360682,Group 3,0.24361172644421458
"Nicholas County, West Virginia",West Virginia,199.8,72,455.5,160,25594,43.4,36375,19.6,2.39,57.9,8.4,23.5,99.32896259,0.034708831,0.208252989,3.346456693,Group 1,0.19891807832755148
"Dent County, Missouri",Missouri,200.1,45,424.4,90,15593,43.4,34411,21.6,2.6,51.8,9.2,25.3,96.47066359,0.397130413,0.614911606,6.869058571,Group 2,0.33063202374614775
"Haskell County, Texas",Texas,172.4,16,387.4,34,5737,43.4,35607,25.1,2.2,52.7,6.9,23.9,88.26242952,3.263283786,0.973859559,4.519119351,Group 3,0.296637017512694
"Metcalfe County, Kentucky",Kentucky,218,28,492.1,63,9909,43.4,30460,25.2,2.51,58.4,7.4,26.8,95.13269905,1.281922884,0.330495744,11.46987952,Group 1,0.30875010462477803
"Clay County, West Virginia",West Virginia,212.9,26,591,70,8910,43.3,32961,25.1,2.62,55.8,12.3,32.5,98.04178974,0,0,8.753056235,Group 3,0.17660411237739027
"Mahoning County, Ohio",Ohio,190.7,661,463.1,1511,231900,43.3,41316,18.9,2.32,45.1,9.5,24.3,80.24642933,15.5024515,0.793860584,4.348522463,Group 1,0.2092556282877922
"Forest County, Pennsylvania",Pennsylvania,206.5,22,462.1,49,7410,43.3,37794,21.9,1.86,33.3,4.8,18.9,66.03350481,27.31829574,0.68592534,1.652892562,Group 3,0.08492217445746064
"Wadena County, Minnesota",Minnesota,187.9,41,453.5494221,1962.667684,13875,43.3,41909,15.8,2.35,52.2,5.2,25.1,96.39508685,0.952104077,0.581437604,5.574778931,Group 3,0.11717973719350994
"Mineral County, West Virginia",West Virginia,198.4,76,456.6,170,27451,43.2,40012,16.1,2.4,44.2,8.8,23.3,94.81534859,3.145379211,0.299045217,7.391231312,Group 2,0.08345009153708816
"Randolph County, West Virginia",West Virginia,168.6,68,405.2,161,29126,43.2,37468,20.8,2.35,52.2,6.7,23.4,96.90447812,1.924059254,0.17708156,4.231027535,Group 2,0.25584622216410935
"Dickey County, North Dakota",North Dakota,126,12,320.2,26,5104,43.2,51817,11.7,2.3,60.8,1.5,8,96.36188643,1.482194418,0.346487007,12.01143947,Group 2,0.21870958153158426
"Clay County, Nebraska",Nebraska,148.9,14,506.7,44,6309,43.2,55758,11.3,0.024,61.2,2.8,15.8,96.77217173,0.454403008,0.376057662,8.012820513,Group 2,0.3280213223770261
"Morgan County, Georgia",Georgia,172.3,39,471.5,106,18046,43.2,50295,15,2.76,53.8,6.9,17,73.8603352,23.17877095,0.441340782,3.7027833,Group 2,0.24244742561131716
"Jones County, Iowa",Iowa,154,46,445.7,123,20466,43.2,51558,11.6,2.34,57,5,14.6,95.61284047,1.916342412,0.408560311,5.726980992,Group 2,0.07100020069628954
"Winnebago County, Iowa",Iowa,163.3,27,446.6,67,10609,43.2,50703,10.4,2.2,59.9,6.2,11.1,95.798002640000007,0.923308837,1.083474656,10.56949807,Group 3,0.027260007802397013
"Marion County, Tennessee",Tennessee,220.2,80,521.2,187,28487,43.1,40766,20.6,2.43,53.9,6.7,20.9,93.53847241,1.519112556,0.374478909,2.19816273,Group 1,0.14682242227718234
"Iron County, Missouri",Missouri,216.3,30,529.5,74,10125,43.1,33091,22.1,2.46,50.8,11.4,24.9,95.04940903,2.606084092,0,3.896713615,Group 2,0.2005477650091052
"Fayette County, Iowa",Iowa,151.3,50,467.8,138,20257,43.1,45522,14.4,2.31,52.7,5.1,20.1,96.119287,1.083102628,0.762543106,7.378451014,Group 3,0.2644707534927875
"Newton County, Indiana",Indiana,194.1,36,427.8,76,14008,43,51285,11.5,2.56,53,8.9,17.4,97.02639254,0.277441844,0.433947499,5.900305188,Group 3,0.14214635454118252
"Owsley County, Kentucky",Kentucky,263.1,16,493.7,31,4461,43,23047,45.1,2.56,52.7,8.8,41.4,96.07885615,1.083188908,0.888214905,4.527559055,Group 1,0.19904068484902382
"Hamilton County, Nebraska",Nebraska,155.8,20,411.9,48,9190,42.9,62191,6.9,2.45,62.7,2.5,15,96.62637363,0.538461538,0.21978022,3.387978142,Group 1,0.13375456840731204
"Montour County, Pennsylvania",Pennsylvania,152.6,41,490.8,124,18557,42.9,54547,11.2,0.0241,49.9,6.6,13.7,94.35379295,1.680354441,2.901448022,3.59080341,Group 2,0.013047067448496819
"Burke County, North Carolina",North Carolina,188,222,493,560,88842,42.9,39275,20.5,2.53,48.1,11.6,23.6,84.81149774,5.928663957,3.634922053,4.608459925,Group 2,0.30230380687862635
"Lee County, Iowa",Iowa,181.3,92,509.2,241,35089,42.9,44719,17.7,2.4,49.8,8.7,19.3,93.39534621,3.019593429,0.508920241,6.389732266,Group 2,0.17214087257161736
"Lee County, Virginia",Virginia,224.2,73,330.5,107,24742,42.8,31429,26.6,2.52,49.8,12,26.3,93.93398397,3.824486233,0.261842418,6.208251473,Group 1,0.20069277356378734
"Ballard County, Kentucky",Kentucky,191.3,22,460.2,51,8212,42.8,44732,16.8,2.48,54.8,6.2,23.7,94.36773256,3.379360465,0.593507752,6.105990783,Group 1,0.2412119093351066
"Linn County, Missouri",Missouri,197.9,37,497.9,86,12308,42.8,37597,20,2.53,53.3,4.5,15.5,95.97613096,0.556406741,0.24997984,5.692675159,Group 2,0.16567103378474712
"Putnam County, New York",New York,157.1,170,511.8,570,99042,42.8,94334,6.3,2.84,57.4,6.8,8.8,90.12443712,2.296759408,2.329929238,4.066933111,Group 3,0.23717651260085404
"Treutlen County, Georgia",Georgia,193.7,15,404.5,31,6785,42.8,32536,27.1,2.38,41.6,5.4,26.8,70.14196983,29.11860396,0,1.448321264,Group 2,0.158191145863384
"Tallapoosa County, Alabama",Alabama,200.5,111,454.4,248,40844,42.8,36779,21.3,2.48,50.2,9,23.5,70.29378174,27.71122397,0.036449348,5.462418119,Group 2,0.19048184296116233
"Orange County, Virginia",Virginia,177.3,82,503.5,225,35385,42.6,59282,10.7,2.66,54.7,7.9,15.7,82.58469187,12.74135738,0.994334605,2.100668394,Group 2,0.3320010653696954
"Grundy County, Tennessee",Tennessee,218.9,40,460.3,82,13441,42.6,28086,26.1,2.55,48.4,10.2,33.2,81.92842354,0.236616386,0.229222124,5.094207955,Group 2,0.08716952474787831
"Bay County, Michigan",Michigan,182.3,262,448.2,616,105659,42.6,46061,16.8,2.42,49.6,9.7,18.7,94.49380494,1.353352453,0.588577105,5.244463933,Group 3,0.321494460105896
"Hocking County, Ohio",Ohio,205.9,75,460.6,167,28491,42.6,42374,17.5,2.48,54.7,9.5,21.6,97.42339351,0.819672131,0.335477623,5.314639713,Group 1,0.21278356108814478
"Currituck County, North Carolina",North Carolina,199,51,400.5,107,25263,42.6,58024,11.2,2.62,60.7,6.6,10.4,90.27845827,6.197942185,0.449126245,3.284671533,Group 1,0.09613245469518006
"Mercer County, Kentucky",Kentucky,206.3,57,536.1,143,21407,42.6,43945,17.6,0.024,56.4,11.5,20.6,92.84977978,3.767219567,0.473245244,5.675616678,Group 2,0.25212463131174445
"Washington County, Illinois",Illinois,162.6,33,510.8,98,14270,42.6,54683,10.2,2.46,54.6,5.5,18.1,97.12941827,0.740125891,0.366604413,6.077529566,Group 3,0.15876985318027437
"Breckinridge County, Kentucky",Kentucky,199.5,51,490,126,20018,42.5,41547,19.2,2.71,56,11.5,21.1,95.55854643,2.322915109,0.119635113,7.765151515,Group 2,0.21852194983512163
"Klamath County, Oregon",Oregon,177.9,159,438,383,66016,42.5,39234,21.9,2.39,51.4,12.4,24.4,88.49966653,0.892803007,1.156551264,6.075036075,Group 3,0.0899513210169971
"Huntingdon County, Pennsylvania",Pennsylvania,172.7,105,423.7,248,45668,42.5,44531,15.1,2.36,51.4,8.1,17.9,92.1491744,5.284712238,0.457456542,6.823375775,Group 2,0.10806341469287872
"Edmonson County, Kentucky",Kentucky,202.5,32,490.6,76,12007,42.5,38544,19.9,2.51,56.6,8.9,22.7,97.24080958,1.470466749,0.132176786,2.563121653,Group 2,0.1587763004936278
"Greene County, Alabama",Alabama,154.5,19,495.8,58,8479,42.4,26504,33.2,2.7,30.9,20.4,32.2,17.7877429,80.6599977,0.160975049,7.343412527,Group 3,0.22095229825936258
"Walker County, Alabama",Alabama,231.3,199,495,429,65294,42.4,37245,23.5,2.54,51,11.4,19.9,91.11690912,5.765817696,0.373162629,5.931679153,Group 1,0.14155545039102435
"Richland County, Illinois",Illinois,179.3,42,505.5,113,16029,42.4,43396,14.6,2.43,52.5,5.4,19.9,97.35846717,0.434054691,0.372046878,4.929577465,Group 1,0.12934850482270122
"Saline County, Illinois",Illinois,192.1,67,500.1,167,24548,42.4,38329,21,2.43,49,13,30.4,93.13642416,3.675906872,0.629463745,6.192236599,Group 1,0.042763670440763235
"Hamilton County, Iowa",Iowa,153.2,36,449.8,94,15190,42.4,53691,9.4,2.36,59.2,3.8,16.4,93.65235013,0.666797411,2.235732497,2.258064516,Group 2,0.0012657977640628815
"Jefferson County, Tennessee",Tennessee,185.3,124,484,310,53240,42.3,41235,17.8,2.58,53.4,9.1,21.1,94.76281196,2.560487712,0.226709849,4.075765263,Group 2,0.2978905588388443
"Caldwell County, Missouri",Missouri,199.3,26,508.2,62,9014,42.3,43111,16.2,2.39,58.6,5.2,16.6,96.62005945,0.759660905,0.253220302,7.368995633,Group 3,0.08000332908704877
"Claiborne Parish, Louisiana",Louisiana,177.8,38,473.5,102,16295,42.2,35385,28.2,2.51,37,13.5,27.2,46.52923854,50.16527436,0.030049883,8.809020437,Group 2,0.3477123042102903
"Mendocino County, California",California,167.5,197,452.2,513,87649,42.2,42840,18.8,2.51,45.1,12.2,31.5,82.82920589,0.668235402,1.938453806,5.383139601,Group 2,0.2721503768116236
"Logan County, Kansas",Kansas,129.1,6,453.5494221,1962.667684,2825,42.2,49852,9.7,2.21,59.7,3.9,10.7,95.41711421,0,0.179018976,7.558139535,Group 1,0.01363832619972527
"Geneva County, Alabama",Alabama,200.3,74,488,176,26777,42.2,34425,23.9,2.47,52.3,11.2,24.4,86.50009323,8.901734104,1.226925228,5.630397237,Group 2,0.33628521487116814
"Fulton County, Illinois",Illinois,193.1,100,506.5,250,35699,42.2,44435,16.5,2.37,49.9,7.9,18.9,94.50761226,3.551468766,0.261542273,5.418650238,Group 1,0.07047732244245708
"Jasper County, Iowa",Iowa,181.7,91,466.2,221,36827,42.2,52750,11.2,2.41,54,5.4,14.8,96.16620378,1.475793716,0.57452486,6.996052811,Group 2,0.27968176640570164
"Wabaunsee County, Kansas",Kansas,150.3,14,453.5494221,1962.667684,6951,42.1,59160,9.6,2.59,61.2,6.2,9.3,96.39845648,0.22866943,0.242961269,4.111600587,Group 1,0.22706669522449374
"Casey County, Kentucky",Kentucky,254.3,52,501.8,103,15808,42.1,29344,30.6,2.44,58.7,9,28.9,97.19192679,0.796038611,0.250720822,5.148741419,Group 2,0.11987341195344925
"Franklin County, Florida",Florida,216.2,34,412,66,11761,42.1,36788,25.3,2.24,49.8,9.4,20.9,81.99174407,14.55108359,0.756793946,4.934210526,Group 1,0.21107817185111344
"Flathead County, Montana",Montana,150.6,171,516.8,570,96165,42.1,47351,13.6,2.48,56.3,7,15.5,94.93641049,0.307501098,0.515358983,6.812139453,Group 1,0.05746160470880568
"Harrison County, West Virginia",West Virginia,206.7,192,506.6,449,68714,42,42121,13.9,2.48,52.4,7.4,21.3,95.67378765,1.820342619,0.526102206,5.060383303,Group 1,0.0036836995277553797
"Columbia County, Wisconsin",Wisconsin,176.6,123,476.1,323,56743,42,59020,8.8,2.44,54.9,5.8,12.9,95.67367993,1.513947038,0.531736358,4.654466449,Group 3,0.14451618446037173
"Hillsdale County, Michigan",Michigan,187.5,111,396.3,230,45941,42,44780,16.6,2.5,54,9,18.9,97.14582702,0.634501278,0.324830006,6.309693152,Group 2,0.3484052086714655
"Wyandot County, Ohio",Ohio,190.6,57,461.7,129,22243,42,47905,10,2.38,55.9,6.6,12.4,98.63355143,0.191391819,0.146882094,4.962066844,Group 2,0.305184172000736
"Stoddard County, Missouri",Missouri,206.6,85,439.5,175,29862,42,38329,19,2.43,53.7,9.1,21.4,97.20481282,1.49478835,0.036866977,7.254779066,Group 2,0.14378662430681288
"Steuben County, New York",New York,178.7,230,467.1,581,97631,42,46849,16.6,2.36,50.5,8.2,20.7,94.97896924,1.56691836,1.529417727,6.856742229,Group 1,0.2946969987824559
"Boone County, West Virginia",West Virginia,236.7,70,501.8,152,23372,41.9,37625,22.1,2.5,55.2,9.2,25.4,98.3125,0.675,0.091666667,4.220287661,Group 1,0.32546852668747306
"Grafton County, New Hampshire",New Hampshire,155,178,435.5,487,89320,41.9,56353,11.6,2.35,48.5,5,14,93.24050548,0.871940095,3.210172261,6.078496198,Group 1,0.30879864003509283
"Bates County, Missouri",Missouri,211.1,50,454.5,100,16446,41.9,41462,18.4,2.44,54.4,6.6,17.1,95.46355825,0.51072523,0.048068257,4.212348529,Group 2,0.2812769233714789
"Deschutes County, Oregon",Oregon,154.3,305,485.2,929,175268,41.9,52387,13.2,2.49,54.6,9.4,19.1,93.2775984,0.453721597,1.212925064,4.744289032,Group 1,0.19863661122508347
"Upshur County, West Virginia",West Virginia,189.5,60,453.7,142,24758,41.8,38387,19.7,2.57,51.5,8,23.3,97.41449511,1.099348534,0.23615635200000001,5.300938708,Group 2,0.13691606372594833
"Nevada County, Arkansas",Arkansas,210.7,25,407.9,48,8558,41.8,30935,25.1,2.48,52.5,9.5,29.8,67.18981008,30.76310702,1.285113158,5.091311566,Group 2,0.25735412165522575
"Ashtabula County, Ohio",Ohio,203.2,263,498.3,625,98632,41.8,39757,21.5,2.48,48.2,8.9,22.6,93.25596079,3.406596711,0.472052677,6.447299298,Group 1,0.18611109862104058
"Wolfe County, Kentucky",Kentucky,259.5,23,570.6,50,7259,41.8,25768,36.2,2.45,49.7,9.7,40.2,98.81559014,0.3580774,0,5.395462906,Group 1,0.21559089003130794
"Mingo County, West Virginia",West Virginia,240.8,76,507,163,25292,41.7,29839,28.1,2.38,55.6,14.1,31.3,96.08962246,1.415294435,0.408777139,2.796024928,Group 2,0.31287227268330753
"Montgomery County, Mississippi",Mississippi,194.5,28,473.8,67,10152,41.7,31963,24.7,0.0243,48.2,8.5,28.3,53.5454893,45.04013761,0.181574924,7.049608355,Group 3,0.22334906226024032
"Harrison County, Indiana",Indiana,183.5,84,438.5,200,39578,41.7,56787,10,2.67,52.3,7.9,13.6,97.46622483,0.828447617,0.36961509,3.198968831,Group 2,0.14610214321874082
"Owen County, Kentucky",Kentucky,159.8,21,514.8,67,10730,41.7,43626,17.4,2.59,54.5,8.6,21.4,96.12547848,1.587153394,0.093361964,5.220713073,Group 2,0.2770150126889348
"Anderson County, Kansas",Kansas,174.8,22,453.5494221,1962.667684,7808,41.7,45368,14.3,2.37,59.5,5.9,16.9,95.14944276,0.113981763,0,8.419023136,Group 3,0.19711128482595086
"Smith County, Tennessee",Tennessee,225.1,48,486.5,106,19295,41.6,43659,15,2.53,59.1,5.2,22.4,95.5215301,2.257525084,0.151546823,3.646563815,Group 1,0.04767525615170598
"Ripley County, Missouri",Missouri,236,46,455,87,13802,41.6,30019,25.1,2.57,55.1,10.1,28.6,96.44031451,0.235882773,0.057183703,7.130554599,Group 3,0.13948546815663576
"Texas County, Missouri",Missouri,161.3,58,385.3,134,25690,41.6,33755,21.5,2.67,48.4,8.1,27.3,92.99397707,1.75636293,0.085486691,4.813502813,Group 2,0.3156647449359298
"Otsego County, New York",New York,173.8,143,478.7,378,60636,41.6,43104,18.9,2.36,46.1,7.1,18.6,94.03084741,1.918598023,1.247577322,4.59877366,Group 2,0.07431007665582001
"LaSalle County, Illinois",Illinois,191.3,291,519.9,742,111333,41.6,51205,13.6,2.48,50.3,9.8,19.4,94.09570169,2.460494408,0.674193233,4.843425569,Group 1,0.026230521965771914
"Shiawassee County, Michigan",Michigan,184.9,157,505,421,68619,41.5,47882,15.3,2.49,54.9,10.3,16.3,96.79799748,0.458669136,0.432624832,5.135520685,Group 2,0.23535542166791856
"Allegany County, Maryland",Maryland,172.2,183,519.3,517,72528,41.5,39808,18.5,2.33,44.2,10,22.9,88.59399856,8.0191437,0.864729636,4.613602728,Group 1,0.12780292052775621
"Taney County, Missouri",Missouri,173.6,121,432.8,294,54592,41.5,35731,18.7,2.43,50.7,9,20.3,93.12482495,0.825319765,0.935486883,5.505782701,Group 2,0.28240912361070514
"Columbus County, North Carolina",North Carolina,193.6,139,417.5,298,56694,41.5,34321,24.3,2.47,45,9,25.9,61.72986196,30.44557051,0.325004368,5.168210629,Group 2,0.11535702715627849
"Davidson County, North Carolina",North Carolina,177.5,346,488.6,943,164622,41.5,43346,16.9,2.52,54,11,21,86.61109314,9.327686477,1.265660566,5.03246323,Group 2,0.24378918716683984
"Dawson County, Georgia",Georgia,179,45,473.3,124,23312,41.5,57491,11.8,2.74,57.1,8.5,15.4,94.98081418,0.555727076,0.50721122,6.774789571,Group 1,0.22270165313966572
"Carroll County, Indiana",Indiana,166.3,43,414.4,103,19856,41.5,55318,10.9,2.55,57.3,8.2,11.9,97.80653543,0.339762166,0.189867093,5.682622023,Group 2,0.0850561538245529
"Arkansas County, Arkansas",Arkansas,201.7,51,468.1,116,18433,41.4,36409,20.4,2.39,49.8,8.3,29.8,72.38268112,25.68469382,0.448454434,7.128810226,Group 1,0.024925359757617116
"Berrien County, Michigan",Michigan,179,370,479.8,945,154636,41.4,44145,17.7,2.46,50.1,9.4,20.7,78.08697329,15.02458779,1.84810208,5.359859567,Group 3,0.1757548141758889
"Nowata County, Oklahoma",Oklahoma,189.7,28,391.8,55,10539,41.4,39706,16.1,2.56,53.7,8.4,21.4,68.97205116,1.970630033,0.293699668,3.337783712,Group 1,0.2550433969590813
"Gentry County, Missouri",Missouri,172.8,19,439.7,42,6692,41.4,39444,15.4,2.38,59,6.3,19,97.45025792,1.061164333,0.427413412,6.582633053,Group 1,0.23715867474675179
"Benton County, Iowa",Iowa,163.2,54,445.9,141,25658,41.4,61931,8.8,2.51,61.8,4.7,11.8,97.76382591,0.701468821,0.213153509,6.183093392,Group 2,0.16868652286939323
"Cleburne County, Alabama",Alabama,196,38,460.7,85,15018,41.3,40418,17,2.57,56.7,8.3,22,93.97413678,2.94627383,0.353286229,4.221954162,Group 2,0.3348670843988657
"Clarke County, Mississippi",Mississippi,191.4,41,466.5,100,16006,41.3,34910,22.4,2.51,48.7,11.7,25.7,64.18530742,35.02628041,0.073340667,6.761177754,Group 1,0.3250945298932493
"Big Horn County, Wyoming",Wyoming,159.8,27,416.6,63,12022,41.2,50437,10.7,2.59,56.2,4.4,14.6,95.03993274,0.058848256,0.479192938,6.672369547,Group 1,0.09287030342966318
"Butler County, Kentucky",Kentucky,202.9,32,460.2,72,12938,41.2,35219,20.6,2.44,53.6,6.1,27.6,98.13790417,1.184261784,0,5.23255814,Group 1,0.33098155027255416
"Morrow County, Ohio",Ohio,185,75,456.7,183,35074,41.2,49846,12.1,2.73,57,7,16.8,97.47399703,0.405760658,0.125728655,4.83615222,Group 2,0.23350968165323138
"Chester County, South Carolina",South Carolina,215.6,86,492.8,197,32267,41.2,37537,22.5,2.61,41.2,13.8,26.7,60.08416267,38.40459516,0.07371913,6.686006354,Group 2,0.009373586159199476
"Palo Pinto County, Texas",Texas,183.7,66,466.6,164,27895,41.2,40862,18.6,2.62,51.8,8.3,21.5,90.58772967,2.449768991,0.390387164,4.602721317,Group 1,0.05450310022570193
"Chouteau County, Montana",Montana,136.8,11,421.9,33,5767,41.1,41004,19.4,2.5,54.6,4.3,22.9,76.1058924,0.068317677,0.290350128,8.205128205,Group 1,0.03678059997037053
"Monroe County, Alabama",Alabama,187,54,444.1,126,21673,41.1,34733,25.3,2.62,45.8,20.7,26.7,55.43052617,42.2289238,0.333078273,6.012145749,Group 2,0.22329421574249864
"Skagit County, Washington",Washington,172.7,269,499.3,740,121846,41,51395,15.7,2.56,53.6,8.2,20.2,85.59027341,0.806079954,1.887835902,5.818153266,Group 3,0.1314048022031784
"Putnam County, West Virginia",West Virginia,171.5,114,497.2,328,56848,41,59472,10,2.6,57.4,3.7,15.8,96.62520319,1.500106015,0.33924659,6.034482759,Group 1,0.012318175286054611
"Eaton County, Michigan",Michigan,178.6,229,413.5,523,108801,41,57088,9.8,2.45,52.1,7.8,13.6,87.12398815,6.392778357,1.973398806,5.808302127,Group 2,0.2769283577799797
"Boyle County, Kentucky",Kentucky,179.1,68,492.9,176,29809,41,41538,17.5,2.42,48.3,7.1,21.7,88.98530012,6.921192323,0.809854362,4.910307084,Group 1,0.020742358407005668
"Chesterfield County, South Carolina",South Carolina,206.2,109,428.1,228,46017,41,34949,26.4,2.52,47.8,10.3,26.8,63.86387253,33.20055421,0.528229997,4.348232654,Group 1,0.14085854520089924
"Presidio County, Texas",Texas,66.3,7,211.1,21,6876,41,34258,21.8,0.0277,54.7,9.6,22.7,91.31982475,0.013691128,3.436473165,6.324110672,Group 1,0.26117635355331004
"Grundy County, Missouri",Missouri,209.2,33,444.5,66,10097,41,37911,19.2,2.45,54.6,4.5,17.3,95.84633385,0.819032761,0.28276131,7.829010567,Group 2,0.34465464064851403
"Harlan County, Kentucky",Kentucky,277.1,98,504.8,182,27703,41,26351,34.2,2.43,52.7,9.8,34,95.4084507,2.482394366,0.383802817,3.257989088,Group 3,0.31523155444301665
"Miller County, Georgia",Georgia,200.8,17,450.6,36,5854,41,35276,25.1,0.0242,49.6,6.5,26.8,68.66576819,31.06469003,0,2.32,Group 1,0.27121980721130967
"Magoffin County, Kentucky",Kentucky,221.5,31,554.7,81,12808,41,29421,30.2,2.57,52.6,12.2,35.9,99.84590492,0.084752292,0,5.955168953,Group 3,0.299084349302575
"Carter County, Missouri",Missouri,255.8,21,492.8,39,6263,40.9,32170,24,2.54,46.7,9.7,26.6,95.84659453,0.063653724,0,2.629656684,Group 3,0.25933495280332863
"Sullivan County, Missouri",Missouri,196.5,18,425.4,37,6353,40.9,36642,17.7,2.56,52.2,6,17.9,93.84213759,0.875307125,0.62960688,10.31227306,Group 2,0.0970502570271492
"Hart County, Kentucky",Kentucky,243.5,54,519.5,115,18454,40.9,38038,23,2.49,56.7,9.6,24.8,93.26500732,4.706903096,0.227753376,8.986232791,Group 3,0.05726565537042916
"Franklin County, Georgia",Georgia,198.3,58,493.5,140,22311,40.9,38055,24.4,2.54,52.6,8.4,24.7,85.45906829,9.60651289,0.732700136,6.796906797,Group 1,0.2912759573664516
"St. Louis County, Minnesota",Minnesota,184.8,493,453.5494221,1962.667684,200431,40.9,49714,17,2.26,47.7,6.9,16.9,92.66954605,1.546587135,1.030393105,4.901104316,Group 3,0.16058587515726686
"Washington County, Florida",Florida,209.1,64,356.3,108,24687,40.9,36482,20,2.66,46.6,11.5,27,79.6581266,15.17316984,0.138048642,5.908289242,Group 2,0.2014645952731371
"Newberry County, South Carolina",South Carolina,185.1,89,426.3,198,38012,40.9,42000,19.4,2.55,45.6,10.2,21.5,61.70867604,30.00530645,0.644733351,5.557586837,Group 1,0.2460117891896516
"Madison County, New York",New York,174.2,150,505.4,428,71849,40.8,51600,11.8,2.55,46.7,5.1,17.2,94.83617988,2.048959642,0.800806329,3.238819733,Group 1,0.24435070785693824
"Cumberland County, Pennsylvania",Pennsylvania,154.6,473,460.3,1332,246338,40.8,62692,9.1,2.38,52.6,5.6,10.5,89.63744734,3.413039967,3.362092889,4.691477538,Group 1,0.3470305826049298
"King William County, Virginia",Virginia,187.4,32,514.8,90,16269,40.7,64305,8.8,2.66,58.5,5.4,13.5,76.52357582,19.54401441,0.869727278,6.631716907,Group 1,0.2654362772591412
"Conway County, Arkansas",Arkansas,167.2,47,443.9,120,21019,40.7,42348,18.3,2.49,54.2,8.1,24.3,85.40975841,12.03694931,0.052108006,5.789245447,Group 1,0.06349607440643013
"Lawrence County, Mississippi",Mississippi,211.9,33,527.4,82,12622,40.7,38471,22.3,2.63,51.6,10.8,22.2,66.335611,32.30573653,0.063562689,5.109751709,Group 3,0.20431776996701956
"Franklin County, Kentucky",Kentucky,215.7,127,512.2,297,50375,40.7,49400,12.9,2.28,46,8.7,15.3,82.83177307,10.49057817,1.605126763,4.425228891,Group 2,0.27330227685160935
"Morgan County, Kentucky",Kentucky,242.8,36,498.8,77,13275,40.7,30872,30.4,2.45,51.9,9.6,33.7,94.28805481,3.232052428,0.305332142,6.742424242,Group 2,0.14491145662032068
"Blount County, Alabama",Alabama,175.4,120,429.9,291,57673,40.7,45567,17.5,2.74,59,7.7,19,95.09790331,1.531796916,0.143822561,6.894123171,Group 2,0.15161447040736675
"Jefferson County, Illinois",Illinois,196,99,525.6,259,38353,40.7,43073,19.5,2.39,50.1,9.2,23.1,87.85836487,7.950127015,1.052413293,5.121798876,Group 3,0.045270127011463046
"Henry County, Iowa",Iowa,183.1,49,484.9,122,19950,40.7,50347,13.3,2.43,52.1,5.1,18.2,91.98705179,2.380478088,2.176294821,5.797101449,Group 2,0.03386017773300409
"Silver Bow County, Montana",Montana,171.4,79,445.5,193,34622,40.6,39882,19.5,2.22,44.8,7,17.5,94.65107528,0.471793684,0.688876668,4.512392241,Group 3,0.14993749256245792
"Calvert County, Maryland",Maryland,175.2,153,444.5,406,90595,40.6,92446,7.2,2.87,52.7,7.6,11,81.8696318,12.7072375,1.401558027,3.454078056,Group 3,0.18975015310570598
"Somervell County, Texas",Texas,168.2,18,425.4,43,8739,40.6,51733,12.1,2.45,58.9,2.1,12.5,94.21468401,0.604089219,0,9.165808445,Group 1,0.14176658960059285
"Howell County, Missouri",Missouri,204.4,109,417.6,214,40117,40.6,32662,22.1,2.45,56.1,8.3,24,96.03977583,0.309973714,0.612508059,7.519053578,Group 1,0.08883928088471293
"Larue County, Kentucky",Kentucky,192.6,35,505.2,86,14241,40.6,40312,18,2.6,49.4,9.3,26.7,92.44469574,3.498480458,0.325111315,5.039267016,Group 1,0.14057764178141952
"Tillman County, Oklahoma",Oklahoma,166.1,18,398.1,41,7515,40.5,35274,23.8,2.4,52.4,7.1,24.1,74.32274789,7.958522359,0.23331173,6.093432634,Group 2,0.32138073863461614
"Upshur County, Texas",Texas,186.3,92,424.5,207,40603,40.5,46346,14.6,2.85,55.3,7.9,17.2,84.69173982,8.696628093,0.536213089,5.176056338,Group 3,0.21019259374588728
"West Feliciana Parish, Louisiana",Louisiana,148.2,24,429,73,15385,40.4,53679,24,3.04,36.1,8.5,18,52.90301654,45.71521246,0.038923127,6.799830004,Group 3,0.18142140354029834
